Year,quarter,citymarketid,strength_pax,degree,HHI_neighbors,TotalFaredPax_city,TotalPerLFMkts_city,TotalPerPrem_city,city_clean,lat,lon
2022,1,32467,86384.0,59,0.06575039757307585,4119170.0,0.9156,-0.03855,"Miami, FL",25.7616798,-80.1917902
2022,1,32575,109241.0,66,0.04149810045845811,2062270.0,0.888139999999999,-0.0548,"Los Angeles, CA",34.0549076,-118.242643
2022,1,32600,629.0,3,0.33422976890666034,239480.0,0.7756,0.0167,"Little Rock, AR",34.7428286,-92.2762904
2022,1,32896,495.0,2,0.5269870421385572,108000.0,0.9169,0.0502,"Lubbock, TX",33.5845235,-101.8552139
2022,1,32898,172.0,1,1.0,,,,"Latrobe, PA",40.3211808,-79.37948109999999
2022,1,33044,3835.0,13,0.08268283105752444,522650.0,0.8264,-0.0756,"Louisville, KY",38.2468618,-85.7663724
2022,1,33105,9261.0,23,0.057909637769440456,998540.0,0.7676,0.0075,"Cincinnati, OH",39.1031182,-84.5120196
2022,1,33158,878.0,2,0.5472833785627929,155430.0,0.7546,0.1577,"Midland/Odessa, TX",31.8456816,-102.3676431
2022,1,33192,14286.0,21,0.11554253305246089,1546480.0,0.9798,-0.0695,"Sacramento, CA",38.5781342,-121.4944209
2022,1,33195,40869.0,53,0.038502791936088666,2088435.0,0.95715,-0.26565,"Tampa, FL",27.9516896,-82.45875269999999
2022,1,33198,11771.0,26,0.04903664492941183,1294550.0,0.9192,0.037,"Kansas City, MO",39.0997265,-94.5785667
2022,1,33214,10881.0,26,0.049074251655845495,1324420.0,0.8762,0.0431,"San Antonio, TX",29.4251905,-98.4945922
2022,1,33244,4581.0,13,0.08180257844905837,608570.0,0.753,-0.0006,"Memphis, TN",35.1485812,-90.0518955
2022,1,33256,256.0,1,1.0,97540.0,0.2598,0.0785,"Mission/McAllen/Edinburg, TX",26.2159066,-98.3252932
2022,1,33264,211.0,1,1.0,98980.0,0.2938,-0.1327,"Medford, OR",42.3230112,-122.8767396
2022,1,33316,4521.0,14,0.08630642100241391,626150.0,0.9039,0.0244,"Omaha, NE",41.2565369,-95.9345034
2022,1,33342,7727.0,16,0.0842455102355724,914600.0,0.8832,-0.0295,"Milwaukee, WI",43.0410344,-87.9096783
2022,1,33485,1158.0,5,0.20276457831828446,263410.0,0.3854,0.0661,"Madison, WI",43.0721661,-89.4007501
2022,1,33495,17705.0,30,0.04891584689011547,1864050.0,0.9656,-0.0352,"New Orleans, LA",29.9508941,-90.0758356
2022,1,33570,29022.0,37,0.05082786093788177,3011950.0,0.8880999999999999,0.0164,"San Diego, CA",32.715738,-117.1610838
2022,1,33667,3414.0,13,0.08221462402478646,283325.0,0.397,0.02895,"Norfolk, VA",36.8507689,-76.28587259999999
2022,1,33728,1080.0,5,0.20219993141289438,340240.0,0.7292,0.0213,"Pensacola, FL",30.4076647,-87.2189746
2022,1,33851,3271.0,12,0.09083100696569102,500160.0,0.8483,-0.0136,"Oklahoma City, OK",35.4688692,-97.519539
2022,1,34004,234.0,1,1.0,69350.0,0.0,0.0227,"Everett, WA",47.9782457,-122.207417
2022,1,34027,12586.0,13,0.2628772964615869,1440510.0,0.837,0.1833,"West Palm Beach/Palm Beach, FL",26.7056206,-80.0364297
2022,1,34057,17535.0,27,0.07223473294561229,1865740.0,0.6854,0.0208,"Portland, OR",45.515232,-122.6783853
2022,1,34082,2410.0,11,0.09759714880942133,458380.0,1.0,-0.45239999999999997,"Punta Gorda, FL",26.9297836,-82.0453664
2022,1,34100,25460.0,34,0.05474558616353055,2606160.0,0.7872,0.0448,"Philadelphia, PA",39.9525839,-75.1652215
2022,1,34108,177.0,1,1.0,72830.0,0.7988,-0.2884,"Peoria, IL",40.6928141,-89.5906035
2022,1,34262,4333.0,9,0.1431571179994726,612350.0,0.5562,0.161,"Palm Springs, CA",33.8232286,-116.5106191
2022,1,34314,228.0,1,1.0,,,,"Provo, UT",40.2335349,-111.6669789
2022,1,34321,1181.0,5,0.21607214425984092,223750.0,0.7445,-0.0903,"Portland, ME",43.670822,-70.28438249999999
2022,1,34433,327.0,1,1.0,70800.0,0.224,-0.0754,"Santa Rosa, CA",38.440429,-122.7140548
2022,1,34489,421.0,2,0.5104970069002093,111240.0,0.1015,-0.0196,"Bend/Redmond, OR",44.2726203,-121.1739212
2022,1,34492,14626.0,25,0.06006022553977172,1597180.0,0.8312,-0.0358,"Raleigh/Durham, NC",35.7795897,-78.6381787
2022,1,34512,178.0,1,1.0,,,,"Rockford, IL",42.2677214,-89.08777479999999
2022,1,34524,3829.0,12,0.0931786743018548,538760.0,0.7977,-0.08649999999999998,"Richmond, VA",37.5407246,-77.4360481
2022,1,34570,4754.0,12,0.12552545260471046,622760.0,0.8988,-0.0209,"Reno, NV",39.529919,-119.8142691
2022,1,34576,1539.0,6,0.1811050018133679,303100.0,0.8059,0.002,"Rochester, NY",43.15657789999999,-77.6088465
2022,1,34614,27453.0,35,0.052028917447568025,2838780.0,0.7884,0.2019,"Salt Lake City, UT",40.7605601,-111.8881397
2022,1,34653,1799.0,7,0.14813955378211785,344620.0,0.9124,-0.0364,"Tulsa, OK",36.1551375,-95.989501
2022,1,34685,2268.0,6,0.2214317597180619,455270.0,0.7365,0.0301,"Savannah, GA",32.0808989,-81.091203
2022,1,34689,659.0,3,0.3377283371826076,125430.0,0.6525,0.115,"Santa Barbara, CA",34.420285,-119.698935
2022,1,34696,188.0,1,1.0,106420.0,0.5789,-0.1729,"South Bend, IN",41.6763545,-86.25198979999999
2022,1,34761,1373.0,5,0.21822750591604076,428110.0,1.0,-0.4643,"Sanford, FL",28.8028612,-81.269453
2022,1,34986,6293.0,17,0.08432401729525306,822490.0,0.9177,-0.0497,"Sarasota/Bradenton, FL",27.336465,-82.5310117
2022,1,35096,1712.0,6,0.20994191632456982,356990.0,0.7627,-0.059,"Syracuse, NY",43.0494832,-76.14739770000001
2022,1,35249,283.0,1,1.0,96300.0,0.0,0.1534,"Tallahassee, FL",30.4381828,-84.28062349999999
2022,1,35356,498.0,2,0.5201609651457235,76600.0,1.0,-0.5229,"Trenton, NJ",40.2201787,-74.7642295
2022,1,35412,1227.0,6,0.175956092509676,278600.0,0.4677,0.0654,"Knoxville, TN",35.965266,-83.923304
2022,2,30135,813.0,2,0.5640582236080663,164710.0,0.7271,-0.3342,"Allentown/Bethlehem/Easton, PA",40.6672608,-75.30623260000002
2022,2,30140,6489.0,15,0.07730414530121878,859310.0,0.9527,-0.0039,"Albuquerque, NM",35.0843859,-106.650422
2022,2,30154,233.0,1,1.0,29930.0,0.6869,-0.0109,"Nantucket, MA",41.2853251,-70.0988002
2022,2,30158,1252.0,3,0.3532405658932928,161560.0,1.0,-0.5116,"Atlantic City, NJ",39.3636917,-74.4291041
2022,2,30189,1917.0,5,0.21410959623542372,394290.0,0.9318,-0.0904,"Colorado Springs, CO",38.8353142,-104.8216009
2022,2,30194,81905.0,67,0.032613949731695936,4084590.0,0.774699999999999,0.06305,"Dallas/Fort Worth, TX",32.7766642,-96.7969879
2022,2,30198,13572.0,24,0.05520809473292781,1582850.0,0.8293,0.0242,"Pittsburgh, PA",40.4386612,-79.99723519999999
2022,2,30255,357.0,1,1.0,192600.0,0.1142,0.3287,"Huntsville, AL",34.7295497,-86.5853155
2022,2,30257,2443.0,6,0.1868667007693546,508040.0,0.7879,-0.0227,"Albany, NY",42.6518095,-73.75447070000001
2022,2,30279,270.0,1,1.0,98780.0,0.8894,-0.0497,"Amarillo, TX",35.2069816,-101.8320065
2022,2,30325,78067.0,67,0.02965327348323612,7690050.0,0.9596,-0.0227,"Denver, CO",39.7392358,-104.990251
2022,2,30397,75054.0,58,0.04055586155742091,7463050.0,0.8902,0.1202,"Atlanta, GA",33.7501275,-84.3885209
2022,2,30423,33495.0,35,0.04606678032500723,3590040.0,0.9204,-0.0244,"Austin, TX",30.267153,-97.7430608
2022,2,30431,932.0,3,0.3482542504006336,279030.0,0.6282,-0.10010000000000001,"Asheville, NC",35.5975104,-82.54605629999999
2022,2,30436,3440.0,10,0.1147025419145484,607740.0,0.7209,-0.004,"Tucson, AZ",32.2539787,-110.9741769
2022,2,30466,63250.0,55,0.03557620209658017,3243320.0,0.9674,-0.2406,"Phoenix, AZ",33.4482948,-112.0725488
2022,2,30529,9467.0,19,0.07977153329837473,1147490.0,0.8184,-0.0114,"Hartford, CT",41.7658043,-72.6733723
2022,2,30559,57384.0,49,0.04867412745594048,5695210.0,0.5944,-0.0207,"Seattle, WA",47.6061389,-122.3328481
2022,2,30599,2807.0,9,0.11645488040801859,486020.0,0.7025,0.1535,"Birmingham, AL",33.5185892,-86.8103567
2022,2,30615,5196.0,13,0.08946547086317953,699930.0,0.9345999999999999,-0.0237,"El Paso, TX",31.7618778,-106.4850217
2022,2,30647,16629.0,25,0.0544100350537479,907055.0,0.7545500000000002,-0.0910499999999999,"Cleveland, OH",41.49932,-81.6943605
2022,2,30666,643.0,2,0.5518189667891323,108650.0,0.9722,-0.4081,"Bellingham, WA",48.7519112,-122.4786854
2022,2,30693,31375.0,38,0.04281880986016095,3336830.0,0.9676,0.0451,"Nashville, TN",36.1626638,-86.7816016
2022,2,30713,5781.0,12,0.1066389933848217,773410.0,0.6366,-0.0397,"Boise, ID",43.6150186,-116.2023137
2022,2,30721,73713.0,48,0.03708436300237265,2407316.66666666,0.885466666666666,0.0320333333333333,"Boston, MA",42.3555076,-71.0565364
2022,2,30785,533.0,2,0.5061266011707599,211750.0,0.5465,0.0253,"Burlington, VT",44.4758825,-73.21207199999999
2022,2,30792,6596.0,14,0.09899364739862923,813230.0,0.829,-0.0642,"Buffalo, NY",42.88690039999999,-78.8788896
2022,2,30849,813.0,3,0.3371549951661878,373280.0,0.7645,-0.024899999999999995,"Bozeman, MT",45.67931189999999,-111.037259
2022,2,30852,95800.0,68,0.031748031955927666,3085150.0,0.639633333333333,0.0749333333333333,"Washington, DC",38.9072873,-77.0369274
