Year,quarter,citymarketid_1,citymarketid_2,passengers,fare,nsmiles,fare_lg,fare_low,lf_ms,large_ms,carrier_lg,carrier_low,fare_pax_wavg,city1_clean,lat1,lon1,city2_clean,lat2,lon2
2022,1,30194,33195,1270.0,178.64,929.0,198.81,164.4,0.2965,0.5424,AA,WN,178.64,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Tampa, FL",27.9516896,-82.45875269999999
2022,1,30194,33198,840.0,171.06,461.0,183.27,158.16,0.4918,0.5016,AA,WN,171.06,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Kansas City, MO",39.0997265,-94.5785667
2022,1,30194,33214,800.0,174.4,247.0,162.65,162.65,0.5558,0.5558,WN,WN,174.4,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"San Antonio, TX",29.4251905,-98.4945922
2022,1,30194,33244,491.0,157.6,431.0,163.46,131.52,0.194,0.7858,AA,WN,157.6,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Memphis, TN",35.1485812,-90.0518955
2022,1,30194,33316,330.0,213.62,586.0,226.8,183.26,0.3194,0.6469,AA,WN,213.62,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Omaha, NE",41.2565369,-95.9345034
2022,1,30194,33342,334.0,214.36,853.0,218.63,191.03,0.2979,0.6283,AA,WN,214.36,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Milwaukee, WI",43.0410344,-87.9096783
2022,1,30194,33495,1170.0,156.74,447.0,142.49,142.49,0.5876,0.5876,WN,WN,156.74,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"New Orleans, LA",29.9508941,-90.0758356
2022,1,30194,33570,1252.0,231.82,1182.0,256.78,202.76,0.308,0.5809,AA,WN,231.82000000000002,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"San Diego, CA",32.715738,-117.1610838
2022,1,30194,33667,234.0,252.83,1212.0,260.1,260.1,0.76,0.76,AA,AA,252.83,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Norfolk, VA",36.8507689,-76.28587259999999
2022,1,30194,33728,230.0,206.62,604.0,217.4,170.69,0.2527,0.6778,AA,WN,206.62,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Pensacola, FL",30.4076647,-87.2189746
2022,1,30194,34027,256.0,310.43,1102.0,314.32,246.04,0.0196,0.857,AA,WN,310.43,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"West Palm Beach/Palm Beach, FL",26.7056206,-80.0364297
2022,1,30194,34057,506.0,278.74,1626.0,283.21,283.21,0.5711,0.5711,AA,AA,278.74,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Portland, OR",45.515232,-122.6783853
2022,1,30194,34100,874.0,263.79,1303.0,269.11,117.07,0.0192,0.9024,AA,NK,263.79,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Philadelphia, PA",39.9525839,-75.1652215
2022,1,30194,34262,217.0,312.43,1137.0,316.66,262.94,0.0829,0.8936,AA,WN,312.43,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Palm Springs, CA",33.8232286,-116.5106191
2022,1,30194,34492,607.0,238.99,1061.0,248.48,206.3,0.2057,0.7119,AA,WN,238.98999999999998,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Raleigh/Durham, NC",35.7795897,-78.6381787
2022,1,30194,34524,234.0,279.96,1158.0,290.43,112.86,0.0204,0.7789,AA,NK,279.96,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Richmond, VA",37.5407246,-77.4360481
2022,1,30194,34570,245.0,304.96,1356.0,320.3,260.79,0.1852,0.7387,AA,WN,304.96,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Reno, NV",39.529919,-119.8142691
2022,1,30194,34614,1206.0,252.75,999.0,254.21,204.58,0.1975,0.4208,DL,WN,252.75,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Salt Lake City, UT",40.7605601,-111.8881397
2022,1,30194,34653,217.0,165.53,238.0,170.05,156.94,0.3573,0.6315,AA,WN,165.53,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Tulsa, OK",36.1551375,-95.989501
2022,1,30194,34685,229.0,226.17,925.0,240.84,178.9,0.3077,0.5833,AA,WN,226.17,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Savannah, GA",32.0808989,-81.091203
2022,1,30194,34986,166.0,215.98,945.0,223.92,180.25,0.3745,0.5154,AA,WN,215.98,"Dallas/Fort Worth, TX",32.7766642,-96.7969879,"Sarasota/Bradenton, FL",27.336465,-82.5310117
